genomeSize	err_rate	QV	gsize	N50	ctgn	L50
3000000	0.220	36.5596	4669431	4657558	3	1
3040000	0.220	36.5659	4669418	4657545	3	1
3020000	0.220	36.5633	4669426	4657553	3	1
3080000	0.220	36.5673	4669429	4657556	3	1
3060000	0.220	36.5648	4669427	4657554	3	1
3000000	0.230	36.5789	4669468	4657595	3	1
3060000	0.230	36.5839	4669474	4657601	3	1
3020000	0.230	36.5822	4669470	4657597	3	1
3040000	0.230	36.5903	4669469	4657596	3	1
3020000	0.240	36.5886	4669485	4657612	3	1
3000000	0.240	36.5881	4669479	4657606	3	1
3060000	0.240	36.5957	4669485	4657612	3	1
3040000	0.240	36.5969	4669476	4657603	3	1
3000000	0.250	36.599	4669487	4657614	3	1
3080000	0.230	36.5844	4669470	4657597	3	1
3100000	0.230	36.5841	4669469	4657596	3	1
3080000	0.240	36.599	4669480	4657607	3	1
3040000	0.260	36.4987	4683388	4671515	3	1
3020000	0.250	36.6	4669487	4657614	3	1
3060000	0.260	36.4983	4683396	4671523	3	1
3040000	0.250	36.6045	4669488	4657615	3	1
3000000	0.260	36.4615	4683390	4671517	3	1
3080000	0.250	36.6104	4669494	4657621	3	1
3020000	0.260	36.4916	4683388	4671515	3	1
3060000	0.250	36.6064	4669493	4657620	3	1
3100000	0.220	36.5652	4669433	4657560	3	1
3100000	0.250	36.6126	4669499	4657626	3	1
3100000	0.240	36.6014	4669478	4657605	3	1
3080000	0.260	36.4992	4683398	4671525	3	1
3120000	0.220	36.5725	4669443	4657570	3	1
3140000	0.220	36.5679	4669512	4657639	3	1
3120000	0.230	36.591	4669470	4657597	3	1
3100000	0.260	36.4983	4683398	4671525	3	1
3160000	0.220	36.5693	4669514	4657641	3	1
3120000	0.240	36.605	4669479	4657606	3	1
3140000	0.230	36.5877	4669547	4657674	3	1
3180000	0.220	36.5721	4669509	4657636	3	1
3120000	0.250	36.6183	4669491	4657618	3	1
3120000	0.260	36.5073	4683391	4671518	3	1
3140000	0.240	36.5998	4669557	4657684	3	1
3160000	0.230	36.5899	4669544	4657671	3	1
3200000	0.220	36.5724	4669511	4657638	3	1
3140000	0.250	36.6155	4669562	4657689	3	1
3180000	0.230	36.5889	4669545	4657672	3	1
3160000	0.240	36.602	4669561	4657688	3	1
3220000	0.220	36.5794	4669517	4657644	3	1
3140000	0.260	36.5096	4683395	4671522	3	1
3200000	0.230	36.5915	4669542	4657669	3	1
3180000	0.240	36.6039	4669563	4657690	3	1
3160000	0.250	36.6145	4669565	4657692	3	1
3180000	0.250	36.6129	4669569	4657696	3	1
3160000	0.260	36.5098	4683395	4671522	3	1
3200000	0.240	36.606	4669562	4657689	3	1
3180000	0.260	36.5062	4683401	4671528	3	1
3200000	0.250	36.6127	4669574	4657701	3	1
3220000	0.230	36.5906	4669549	4657676	3	1
3220000	0.240	36.6017	4669567	4657694	3	1
3200000	0.260	36.5036	4683412	4671539	3	1
3240000	0.220	36.5839	4669515	4657642	3	1
3260000	0.220	36.5794	4669521	4657648	3	1
3220000	0.250	36.615	4669569	4657696	3	1
3240000	0.230	36.5918	4669549	4657676	3	1
3220000	0.260	36.5057	4683410	4671537	3	1
3280000	0.220	36.5764	4669527	4657654	3	1
3260000	0.230	36.5934	4669561	4657688	3	1
3240000	0.240	36.625	4669548	4657675	3	1
3240000	0.250	36.6098	4669571	4657698	3	1
3300000	0.220	36.5802	4669529	4657656	3	1
3280000	0.230	36.5934	4669562	4657689	3	1
3240000	0.260	36.5113	4683412	4671539	3	1
3260000	0.240	36.6241	4669561	4657688	3	1
3320000	0.220	36.5823	4669526	4657653	3	1
3280000	0.240	36.6288	4669558	4657685	3	1
3260000	0.250	36.6091	4669585	4657712	3	1
3300000	0.230	36.5956	4669556	4657683	3	1
3280000	0.250	36.6112	4669588	4657715	3	1
3260000	0.260	36.5134	4683431	4671558	3	1
3280000	0.260	36.5134	4683433	4671560	3	1
3320000	0.230	36.5939	4669550	4657677	3	1
3300000	0.240	36.6288	4669555	4657682	3	1
3300000	0.250	36.6131	4669586	4657713	3	1
3300000	0.260	36.5122	4683428	4671555	3	1
3320000	0.240	36.6291	4669556	4657683	3	1
3320000	0.250	36.6141	4669588	4657715	3	1
3340000	0.220	36.5872	4669518	4657645	3	1
3320000	0.260	36.5113	4683426	4671553	3	1
3340000	0.230	36.5941	4669557	4657684	3	1
3360000	0.220	36.596	4669528	4657655	3	1
3340000	0.240	36.6303	4669560	4657687	3	1
3340000	0.250	36.6219	4669581	4657708	3	1
3380000	0.220	36.5967	4669526	4657653	3	1
3360000	0.230	36.6034	4669561	4657688	3	1
3340000	0.260	36.5127	4683433	4671560	3	1
3400000	0.220	36.5943	4669522	4657649	3	1
3360000	0.240	36.6298	4669559	4657686	3	1
3380000	0.230	36.6055	4669561	4657688	3	1
3360000	0.250	36.6281	4669586	4657713	3	1
3380000	0.240	36.6305	4669561	4657688	3	1
3360000	0.260	36.5141	4683438	4671565	3	1
3400000	0.230	36.6084	4669560	4657687	3	1
3420000	0.220	36.5936	4669526	4657653	3	1
3440000	0.220	36.5958	4669520	4657647	3	1
3380000	0.250	36.6279	4669589	4657716	3	1
3400000	0.240	36.6377	4669557	4657684	3	1
3420000	0.230	36.6079	4669561	4657688	3	1
3380000	0.260	36.5099	4683440	4671567	3	1
3400000	0.250	36.632	4669591	4657718	3	1
3400000	0.260	36.5145	4683442	4671569	3	1
3420000	0.240	36.636	4669557	4657684	3	1
3420000	0.250	36.6312	4669589	4657716	3	1
3440000	0.230	36.6081	4669567	4657694	3	1
3420000	0.260	36.5131	4683445	4671572	3	1
3440000	0.240	36.6379	4669566	4657693	3	1
3440000	0.250	36.6353	4669594	4657721	3	1
3460000	0.220	36.5991	4669526	4657653	3	1
3440000	0.260	36.5187	4683452	4671579	3	1
3460000	0.230	36.6084	4669568	4657695	3	1
3480000	0.220	36.5988	4669531	4657658	3	1
3460000	0.240	36.6339	4669570	4657697	3	1
3480000	0.230	36.6077	4669571	4657698	3	1
3500000	0.220	36.6026	4669534	4657661	3	1
3460000	0.250	36.6336	4669589	4657716	3	1
3520000	0.220	36.6072	4669541	4657668	3	1
3500000	0.230	36.6048	4669569	4657696	3	1
3460000	0.260	36.5189	4683454	4671581	3	1
3480000	0.240	36.6341	4669571	4657698	3	1
3500000	0.240	36.6351	4669575	4657702	3	1
3540000	0.220	36.6103	4669555	4657682	3	1
3480000	0.250	36.6387	4669587	4657714	3	1
3520000	0.230	36.6036	4669573	4657700	3	1
3480000	0.260	36.5171	4683451	4671578	3	1
3500000	0.250	36.6391	4669591	4657718	3	1
3520000	0.240	36.6348	4669574	4657701	3	1
3500000	0.260	36.5164	4683453	4671580	3	1
3560000	0.220	36.611	4669548	4657675	3	1
3540000	0.230	36.6117	4669569	4657696	3	1
3520000	0.250	36.6403	4669595	4657722	3	1
3540000	0.240	36.6386	4669580	4657707	3	1
3520000	0.260	36.5124	4683451	4671578	3	1
3540000	0.250	36.6468	4669609	4657736	3	1
3540000	0.260	36.5171	4683450	4671577	3	1
3560000	0.230	36.6055	4669568	4657695	3	1
3560000	0.240	36.6375	4669582	4657709	3	1
3560000	0.260	36.5169	4683449	4671576	3	1
3560000	0.250	36.6466	4669603	4657730	3	1
3580000	0.220	36.6183	4669550	4657677	3	1
3580000	0.230	36.6081	4669573	4657700	3	1
3580000	0.240	36.6437	4669586	4657713	3	1
3580000	0.250	36.6495	4669608	4657735	3	1
3580000	0.260	36.5148	4683457	4671584	3	1
3600000	0.220	36.6445	4669666	4657741	3	1
3620000	0.220	36.6411	4669664	4657739	3	1
3600000	0.230	36.6488	4669668	4657743	3	1
3640000	0.220	36.6397	4669665	4657740	3	1
3600000	0.240	36.6748	4669673	4657748	3	1
3620000	0.230	36.6474	4669672	4657747	3	1
3600000	0.250	36.5486	4686069	4674144	3	1
3660000	0.220	36.6435	4669669	4657744	3	1
3620000	0.240	36.6721	4669670	4657745	3	1
3640000	0.230	36.645	4669679	4657754	3	1
3600000	0.260	36.6302	4669697	4657772	3	1
3620000	0.250	36.5493	4686067	4674142	3	1
3640000	0.240	36.6695	4669675	4657750	3	1
3660000	0.230	36.6452	4669679	4657754	3	1
3680000	0.220	36.6442	4669670	4657745	3	1
3620000	0.260	36.6271	4669696	4657771	3	1
3640000	0.250	36.5479	4686071	4674146	3	1
3640000	0.260	36.6278	4669697	4657772	3	1
3660000	0.240	36.6699	4669681	4657756	3	1
3680000	0.230	36.6519	4669685	4657760	3	1
3660000	0.250	36.5486	4686074	4674149	3	1
3660000	0.260	36.6294	4669701	4657776	3	1
3680000	0.240	36.6721	4669680	4657755	3	1
3680000	0.250	36.5472	4686075	4674150	3	1
3700000	0.220	36.6428	4669676	4657751	3	1
3680000	0.260	36.6278	4669702	4657777	3	1
3700000	0.230	36.6498	4669690	4657765	3	1
3700000	0.240	36.6692	4669690	4657765	3	1
3700000	0.250	36.5442	4686074	4674149	3	1
3720000	0.220	36.6428	4669673	4657748	3	1
3720000	0.230	36.6514	4669691	4657766	3	1
3740000	0.220	36.645	4669674	4657749	3	1
3700000	0.260	36.6297	4669710	4657785	3	1
3720000	0.240	36.6683	4669694	4657769	3	1
3760000	0.220	36.6433	4669678	4657753	3	1
3740000	0.230	36.6534	4669693	4657768	3	1
3720000	0.250	36.5439	4686076	4674151	3	1
3780000	0.220	36.6433	4669672	4657747	3	1
3740000	0.240	36.6714	4669699	4657774	3	1
3720000	0.260	36.6328	4669705	4657780	3	1
3760000	0.230	36.6555	4669695	4657770	3	1
3740000	0.250	36.547	4686078	4674153	3	1
3780000	0.230	36.6563	4669695	4657770	3	1
3740000	0.260	36.6328	4669707	4657782	3	1
3760000	0.240	36.6738	4669700	4657775	3	1
3800000	0.220	36.6442	4669672	4657747	3	1
3760000	0.250	36.5472	4686081	4674156	3	1
3780000	0.240	36.669	4669701	4657776	3	1
3760000	0.260	36.6378	4669707	4657782	3	1
3780000	0.250	36.543	4686079	4674154	3	1
3780000	0.260	36.6349	4669703	4657778	3	1
3800000	0.230	36.6555	4669692	4657767	3	1
3800000	0.240	36.6683	4669702	4657777	3	1
3800000	0.250	36.5412	4686087	4674162	3	1
3820000	0.220	36.651	4669680	4657755	3	1
3800000	0.260	36.6385	4669709	4657784	3	1
3820000	0.230	36.6558	4669692	4657767	3	1
3820000	0.240	36.6673	4669697	4657772	3	1
3840000	0.220	36.6498	4669678	4657753	3	1
3820000	0.250	36.5426	4686086	4674161	3	1
3840000	0.230	36.6498	4669684	4657759	3	1
3860000	0.220	36.6457	4669677	4657752	3	1
3820000	0.260	36.6373	4669709	4657784	3	1
3840000	0.240	36.668	4669698	4657773	3	1
3880000	0.220	36.6476	4669680	4657755	3	1
3860000	0.230	36.6483	4669687	4657762	3	1
3840000	0.250	36.5388	4686089	4674164	3	1
3840000	0.260	36.6462	4669711	4657786	3	1
3860000	0.240	36.6656	4669695	4657770	3	1
3900000	0.220	36.6399	4669674	4657749	3	1
3880000	0.230	36.656	4669694	4657769	3	1
3860000	0.250	36.5391	4686084	4674159	3	1
3880000	0.240	36.6632	4669696	4657771	3	1
3860000	0.260	36.6426	4669715	4657790	3	1
3900000	0.230	36.6567	4669685	4657760	3	1
3880000	0.250	36.537	4686090	4674165	3	1
3900000	0.240	36.6606	4669690	4657765	3	1
3880000	0.260	36.6414	4669722	4657797	3	1
3920000	0.220	36.6378	4669677	4657752	3	1
3900000	0.250	36.5302	4686096	4674171	3	1
3900000	0.260	36.6378	4669718	4657793	3	1
3920000	0.230	36.6574	4669692	4657767	3	1
3920000	0.240	36.6594	4669695	4657770	3	1
3940000	0.220	37.3033	4657755	4657755	3	1
3920000	0.250	36.5316	4686095	4674170	3	1
3920000	0.260	36.6369	4669717	4657792	3	1
3940000	0.230	37.321	4657767	4657767	1	1
3940000	0.240	37.3232	4657772	4657772	1	1
3960000	0.220	37.3017	4657756	4657756	1	1
3940000	0.250	37.1687	4674166	4674166	1	1
3960000	0.230	37.3221	4657765	4657765	1	1
3980000	0.220	37.3003	4657757	4657757	1	1
3940000	0.260	37.2936	4657788	4657788	1	1
3960000	0.240	37.3246	4657771	4657771	1	1
4000000	0.220	37.3036	4657757	4657757	1	1
3980000	0.230	37.3193	4657765	4657765	1	1
3960000	0.250	37.1728	4674177	4674177	1	1
3960000	0.260	37.2983	4657794	4657794	1	1
3980000	0.240	37.3252	4657776	4657776	1	1
4020000	0.220	37.2991	4657758	4657758	1	1
4000000	0.230	37.3137	4657764	4657764	1	1
3980000	0.250	37.1728	4674179	4674179	1	1
3980000	0.260	37.2978	4657794	4657794	1	1
4000000	0.240	37.3297	4657773	4657773	1	1
4000000	0.250	37.1736	4674182	4674182	1	1
4020000	0.230	37.3156	4657768	4657768	1	1
4000000	0.260	37.2986	4657799	4657799	1	1
4020000	0.240	37.3294	4657770	4657770	1	1
4040000	0.220	37.295	4657754	4657754	1	1
4020000	0.250	37.1723	4674185	4674185	1	1
4020000	0.260	37.3003	4657796	4657796	1	1
